epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10811.8,0.48525,0.27457,0.97965,0.9989,0.99727,0.99469,0.96121,0.33998,0.1558,0.90144,0.00878581,0.00878581,0.00878581
43,11067.9,0.48538,0.26934,0.97861,0.99859,0.99758,0.99472,0.95912,0.3386,0.14991,0.89907,0.00872857,0.00872857,0.00872857
44,11324.3,0.48293,0.27152,0.97705,0.99807,0.99834,0.99452,0.958,0.34246,0.15557,0.90227,0.0086702,0.0086702,0.0086702
45,11580,0.48408,0.27285,0.97891,0.99757,0.99835,0.9948,0.95785,0.33762,0.15038,0.89748,0.00861073,0.00861073,0.00861073
46,11836.3,0.47934,0.27091,0.97629,0.99809,0.99834,0.99447,0.95882,0.33873,0.15372,0.89793,0.00855018,0.00855018,0.00855018
47,12091.2,0.48126,0.2692,0.97541,0.99816,0.99751,0.99416,0.96273,0.33099,0.14942,0.89117,0.00848856,0.00848856,0.00848856
48,12346.8,0.47566,0.26633,0.97592,0.99888,0.9977,0.99455,0.96374,0.32831,0.14265,0.89224,0.00842589,0.00842589,0.00842589
49,12602.7,0.47378,0.26755,0.97449,0.9989,0.99917,0.99436,0.96353,0.32901,0.14326,0.89233,0.0083622,0.0083622,0.0083622
50,12860.4,0.47367,0.26231,0.97278,0.99918,0.99954,0.99475,0.96272,0.33095,0.14237,0.89309,0.00829749,0.00829749,0.00829749
51,13116.1,0.46899,0.25906,0.97173,0.99906,0.99895,0.99475,0.96495,0.32671,0.14034,0.89128,0.0082318,0.0082318,0.0082318
52,13371.2,0.4709,0.26073,0.97054,0.99917,0.99899,0.99453,0.9632,0.33085,0.14345,0.8947,0.00816514,0.00816514,0.00816514
53,13627.2,0.47,0.25827,0.97195,0.9983,0.99894,0.99462,0.96548,0.32548,0.14457,0.89242,0.00809752,0.00809752,0.00809752
54,13885.1,0.4681,0.25868,0.97048,0.99827,0.9989,0.99468,0.96408,0.32479,0.14368,0.89166,0.00802898,0.00802898,0.00802898
55,14141.3,0.46537,0.25818,0.97029,0.99909,0.99826,0.99478,0.96501,0.32319,0.14253,0.88977,0.00795954,0.00795954,0.00795954
56,14397.1,0.46234,0.25561,0.96865,0.99803,0.99908,0.9946,0.96554,0.32171,0.13962,0.8886,0.0078892,0.0078892,0.0078892
57,14652.7,0.46486,0.25583,0.96834,0.99885,0.99917,0.99478,0.96562,0.31996,0.13619,0.88865,0.007818,0.007818,0.007818
58,14908.9,0.45916,0.25294,0.96749,0.99892,0.99834,0.99475,0.96719,0.31916,0.13738,0.88743,0.00774596,0.00774596,0.00774596
59,15164.1,0.46171,0.25596,0.96795,0.99869,0.99911,0.99471,0.96584,0.31874,0.14641,0.88663,0.0076731,0.0076731,0.0076731
60,15422.4,0.46354,0.25662,0.96848,0.99849,0.9991,0.99476,0.96617,0.3182,0.14078,0.88592,0.00759944,0.00759944,0.00759944
61,15679.7,0.45525,0.25173,0.96488,0.99901,0.99834,0.99471,0.9658,0.31732,0.14109,0.88567,0.007525,0.007525,0.007525
62,15938.9,0.45565,0.25016,0.96624,0.99842,0.9991,0.9947,0.96763,0.31607,0.13629,0.88554,0.00744981,0.00744981,0.00744981
63,16198.8,0.45311,0.24567,0.96424,0.99893,0.99809,0.99458,0.96727,0.3183,0.13447,0.88663,0.00737388,0.00737388,0.00737388
64,16459.2,0.4492,0.24504,0.96164,0.99895,0.99834,0.9946,0.96804,0.31578,0.13193,0.88424,0.00729725,0.00729725,0.00729725
65,16715.9,0.45458,0.24892,0.96411,0.99882,0.99834,0.99464,0.96757,0.31339,0.13215,0.88199,0.00721994,0.00721994,0.00721994
66,16971.7,0.44484,0.24388,0.95867,0.99841,0.99905,0.99473,0.96907,0.31294,0.13174,0.88178,0.00714196,0.00714196,0.00714196
67,17227,0.44601,0.24495,0.96161,0.99897,0.99834,0.9946,0.96824,0.31204,0.13314,0.88145,0.00706335,0.00706335,0.00706335
68,17483.6,0.44508,0.24419,0.96029,0.99905,0.99834,0.99475,0.96883,0.31114,0.13276,0.88129,0.00698412,0.00698412,0.00698412
69,17740.1,0.44302,0.24009,0.96074,0.99903,0.99834,0.99469,0.97001,0.3097,0.13283,0.87976,0.0069043,0.0069043,0.0069043
70,17996.4,0.4469,0.24449,0.9612,0.99907,0.99834,0.9946,0.96979,0.30873,0.12974,0.87922,0.00682392,0.00682392,0.00682392
71,18254,0.44324,0.24381,0.95868,0.99892,0.99834,0.9946,0.96946,0.3077,0.12891,0.87917,0.006743,0.006743,0.006743
72,18510.4,0.43997,0.24551,0.95843,0.99883,0.9982,0.9946,0.97044,0.30747,0.13072,0.87899,0.00666156,0.00666156,0.00666156
