epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11016.8,0.47713,0.27013,0.9682,0.99832,0.99825,0.995,0.96019,0.33904,0.15247,0.8945,0.00741194,0.00741194,0.00741194
43,11277.8,0.47001,0.26608,0.96511,0.99814,0.99756,0.99465,0.96339,0.32957,0.1478,0.8883,0.00729725,0.00729725,0.00729725
44,11538.2,0.46996,0.26565,0.97179,0.99789,0.99727,0.99499,0.96399,0.33062,0.1511,0.88957,0.00718103,0.00718103,0.00718103
45,11799.3,0.46962,0.2658,0.96898,0.99836,0.9975,0.995,0.9642,0.3275,0.14791,0.88624,0.00706335,0.00706335,0.00706335
46,12059.3,0.46742,0.26185,0.9667,0.99909,0.99837,0.995,0.96605,0.32488,0.14638,0.88283,0.00694428,0.00694428,0.00694428
47,12319.6,0.46232,0.25595,0.9626,0.99895,0.99837,0.995,0.96212,0.32509,0.14197,0.88366,0.00682392,0.00682392,0.00682392
48,12580.8,0.4646,0.25768,0.96594,0.998,0.99753,0.99498,0.96568,0.32397,0.14419,0.88314,0.00670234,0.00670234,0.00670234
49,12841.1,0.45694,0.25573,0.96422,0.99884,0.99907,0.995,0.96415,0.3238,0.14225,0.88283,0.00657963,0.00657963,0.00657963
50,13101.8,0.4555,0.25498,0.96364,0.99863,0.99909,0.995,0.96762,0.32067,0.14017,0.88005,0.00645588,0.00645588,0.00645588
51,13362.8,0.45037,0.24818,0.96176,0.9987,0.99907,0.995,0.96605,0.32285,0.13961,0.88238,0.00633115,0.00633115,0.00633115
52,13623.1,0.45378,0.24795,0.96098,0.99799,0.99756,0.995,0.96589,0.32347,0.1384,0.88247,0.00620555,0.00620555,0.00620555
53,13883.3,0.45119,0.24931,0.96149,0.99885,0.99821,0.995,0.96677,0.31898,0.137,0.88083,0.00607916,0.00607916,0.00607916
54,14144,0.45002,0.24571,0.9593,0.99785,0.99904,0.995,0.96874,0.318,0.13649,0.88035,0.00595207,0.00595207,0.00595207
55,14405.8,0.44605,0.24344,0.95836,0.999,0.99837,0.995,0.9665,0.31537,0.13574,0.87845,0.00582435,0.00582435,0.00582435
56,14665.8,0.44673,0.24357,0.9601,0.99907,0.99847,0.995,0.96752,0.31493,0.13666,0.87663,0.0056961,0.0056961,0.0056961
57,14926.6,0.44463,0.24506,0.9535,0.99825,0.99771,0.99497,0.96755,0.31243,0.14104,0.87645,0.00556742,0.00556742,0.00556742
58,15190.1,0.441,0.24445,0.95668,0.99809,0.99756,0.995,0.96846,0.31104,0.14058,0.8749,0.00543837,0.00543837,0.00543837
59,15450.8,0.43626,0.24055,0.95163,0.99797,0.99818,0.995,0.9685,0.31068,0.13658,0.87367,0.00530906,0.00530906,0.00530906
60,15712.1,0.43593,0.24013,0.95137,0.99802,0.99756,0.99497,0.96961,0.31086,0.13844,0.87388,0.00517958,0.00517958,0.00517958
61,15973.3,0.43539,0.23863,0.95347,0.99844,0.99905,0.995,0.9714,0.30896,0.13505,0.87307,0.00505,0.00505,0.00505
62,16235.5,0.42644,0.23212,0.94638,0.99894,0.99837,0.995,0.97126,0.30865,0.13322,0.87257,0.00492042,0.00492042,0.00492042
63,16496.8,0.42929,0.23118,0.95143,0.99901,0.99837,0.995,0.96772,0.30892,0.13488,0.87221,0.00479094,0.00479094,0.00479094
64,16758,0.42818,0.23185,0.94969,0.99907,0.99837,0.995,0.97027,0.30786,0.13146,0.87211,0.00466163,0.00466163,0.00466163
65,17019,0.42549,0.22919,0.94969,0.99858,0.999,0.995,0.97101,0.30662,0.13054,0.87153,0.00453258,0.00453258,0.00453258
66,17281.3,0.42523,0.22953,0.9475,0.99876,0.99911,0.995,0.97155,0.3044,0.12935,0.87016,0.0044039,0.0044039,0.0044039
67,17543.1,0.41631,0.22736,0.945,0.99888,0.99909,0.995,0.9733,0.30401,0.12921,0.8697,0.00427565,0.00427565,0.00427565
68,17803.6,0.41855,0.22435,0.94577,0.99893,0.99916,0.995,0.9737,0.30314,0.12953,0.8694,0.00414793,0.00414793,0.00414793
69,18064.8,0.41366,0.22194,0.94178,0.99895,0.99916,0.995,0.97289,0.30074,0.12839,0.86755,0.00402084,0.00402084,0.00402084
70,18325.3,0.40723,0.21947,0.9419,0.99884,0.99919,0.995,0.97368,0.3,0.12799,0.86685,0.00389445,0.00389445,0.00389445
71,18585.7,0.41066,0.22105,0.94404,0.99898,0.99769,0.995,0.97395,0.29892,0.12815,0.86571,0.00376885,0.00376885,0.00376885
72,18845.7,0.40995,0.21931,0.94244,0.99902,0.99756,0.995,0.97291,0.29857,0.12711,0.86566,0.00364412,0.00364412,0.00364412
73,19108,0.40898,0.21518,0.94309,0.99883,0.99837,0.995,0.97171,0.29832,0.12553,0.86563,0.00352037,0.00352037,0.00352037
74,19368.8,0.40646,0.21663,0.93988,0.99885,0.99837,0.995,0.97262,0.29685,0.12379,0.86489,0.00339766,0.00339766,0.00339766
75,19630.3,0.40294,0.21624,0.93845,0.99892,0.99837,0.995,0.97247,0.29761,0.12471,0.86589,0.00327608,0.00327608,0.00327608
76,19891.1,0.40327,0.21811,0.9385,0.99896,0.99837,0.995,0.97246,0.2974,0.12685,0.86575,0.00315572,0.00315572,0.00315572
77,20151.4,0.39849,0.21225,0.93655,0.99899,0.99837,0.995,0.97311,0.29689,0.12554,0.86512,0.00303665,0.00303665,0.00303665
78,20411.8,0.39425,0.20994,0.93795,0.99904,0.99837,0.995,0.97229,0.29575,0.12561,0.86411,0.00291897,0.00291897,0.00291897
79,20672.5,0.39387,0.21085,0.93565,0.99854,0.99911,0.995,0.9725,0.29419,0.12443,0.8632,0.00280275,0.00280275,0.00280275
80,20933.1,0.39553,0.21018,0.93505,0.99865,0.9991,0.995,0.97312,0.29329,0.12445,0.86268,0.00268806,0.00268806,0.00268806
81,21193.3,0.39139,0.20662,0.93326,0.99878,0.99912,0.995,0.9728,0.293,0.12389,0.86209,0.002575,0.002575,0.002575
82,21451.5,0.38808,0.20506,0.93135,0.99885,0.99914,0.995,0.97314,0.2924,0.12399,0.86156,0.00246363,0.00246363,0.00246363
83,21712.6,0.38715,0.20022,0.9338,0.99882,0.99914,0.995,0.97294,0.29112,0.12399,0.86027,0.00235404,0.00235404,0.00235404
84,21973.8,0.38379,0.20255,0.93155,0.99883,0.99915,0.995,0.97317,0.29054,0.12261,0.85991,0.00224629,0.00224629,0.00224629
85,22237.8,0.3864,0.20055,0.93806,0.9988,0.99914,0.995,0.97333,0.29016,0.12163,0.85962,0.00214046,0.00214046,0.00214046
86,22499.4,0.3786,0.19781,0.93124,0.99886,0.99916,0.995,0.97402,0.2894,0.12098,0.85901,0.00203663,0.00203663,0.00203663
87,22762.4,0.37799,0.19506,0.93001,0.99889,0.99917,0.995,0.97413,0.28904,0.12017,0.85859,0.00193486,0.00193486,0.00193486
88,23023,0.37727,0.19647,0.92954,0.99884,0.99914,0.995,0.97381,0.28847,0.11947,0.85835,0.00183523,0.00183523,0.00183523
89,23283.5,0.37415,0.19879,0.92771,0.99881,0.99913,0.995,0.97309,0.28774,0.11967,0.85811,0.0017378,0.0017378,0.0017378
90,23544,0.37069,0.19487,0.92365,0.99877,0.99911,0.995,0.97401,0.28695,0.1195,0.85762,0.00164264,0.00164264,0.00164264
91,23805.4,0.36856,0.1943,0.92485,0.99879,0.99911,0.995,0.97386,0.28634,0.11857,0.85729,0.00154982,0.00154982,0.00154982
92,24066.1,0.36706,0.19157,0.92496,0.99879,0.9991,0.995,0.97353,0.28584,0.1191,0.857,0.0014594,0.0014594,0.0014594
93,24327.7,0.36743,0.19038,0.92412,0.99879,0.9991,0.995,0.97326,0.28532,0.11884,0.85674,0.00137143,0.00137143,0.00137143
94,24588.7,0.36555,0.18863,0.92598,0.99877,0.99909,0.995,0.97327,0.28485,0.11848,0.85632,0.00128599,0.00128599,0.00128599
95,24849.7,0.36409,0.18727,0.92342,0.99872,0.99908,0.995,0.97364,0.28457,0.11919,0.85597,0.00120313,0.00120313,0.00120313
96,25110.6,0.36041,0.18706,0.92097,0.99864,0.99908,0.995,0.97409,0.28436,0.11875,0.8559,0.0011229,0.0011229,0.0011229
97,25371.9,0.35994,0.18574,0.92123,0.99866,0.99908,0.995,0.97439,0.28421,0.11867,0.85574,0.00104537,0.00104537,0.00104537
98,25633,0.36166,0.18497,0.92306,0.99864,0.99908,0.995,0.97462,0.28401,0.11786,0.85558,0.000970575,0.000970575,0.000970575
99,25893.8,0.35992,0.18466,0.92123,0.9986,0.99908,0.995,0.97455,0.28379,0.11766,0.8554,0.000898581,0.000898581,0.000898581
100,26156,0.35692,0.18425,0.9211,0.99858,0.99909,0.995,0.97494,0.28331,0.11744,0.85519,0.000829431,0.000829431,0.000829431
101,26416.3,0.35332,0.18035,0.9213,0.99861,0.99909,0.995,0.97489,0.28309,0.1175,0.85503,0.000763174,0.000763174,0.000763174
102,26676.9,0.35241,0.18145,0.91936,0.99863,0.9991,0.995,0.97525,0.28303,0.11755,0.85488,0.000699855,0.000699855,0.000699855
103,26937,0.35089,0.18064,0.92056,0.99864,0.9991,0.995,0.97475,0.28274,0.1169,0.85475,0.000639518,0.000639518,0.000639518
104,27196.6,0.35222,0.17984,0.91836,0.99865,0.9991,0.995,0.97458,0.28255,0.11702,0.85466,0.000582203,0.000582203,0.000582203
105,27456.5,0.34879,0.17821,0.91887,0.99863,0.9991,0.995,0.97446,0.28245,0.11678,0.85463,0.00052795,0.00052795,0.00052795
106,27716.9,0.34854,0.17872,0.91957,0.99863,0.9991,0.995,0.9746,0.28239,0.1165,0.85452,0.000476796,0.000476796,0.000476796
107,27977.5,0.34675,0.17788,0.91513,0.99865,0.9991,0.995,0.97466,0.28217,0.11655,0.85434,0.000428777,0.000428777,0.000428777
108,28238.8,0.34493,0.17636,0.91793,0.99865,0.99911,0.995,0.97486,0.2821,0.11642,0.85427,0.000383925,0.000383925,0.000383925
109,28499.8,0.34392,0.17478,0.91565,0.99866,0.99911,0.995,0.97484,0.28189,0.11696,0.85418,0.00034227,0.00034227,0.00034227
110,28760.9,0.34212,0.17559,0.91614,0.99867,0.99911,0.995,0.97472,0.28177,0.11693,0.85407,0.000303842,0.000303842,0.000303842
111,29010.2,0.26742,0.13298,0.85633,0.99869,0.99911,0.995,0.97504,0.28173,0.11713,0.85411,0.000268667,0.000268667,0.000268667
112,29259.3,0.26245,0.12729,0.85057,0.99868,0.99911,0.995,0.97499,0.2817,0.11652,0.8541,0.000236769,0.000236769,0.000236769
113,29506.8,0.26097,0.1253,0.84862,0.99869,0.99911,0.995,0.97531,0.28166,0.11635,0.85404,0.000208169,0.000208169,0.000208169
114,29755.2,0.25849,0.12333,0.84711,0.9987,0.99911,0.995,0.97516,0.28166,0.11666,0.8541,0.000182888,0.000182888,0.000182888
115,30002.3,0.25755,0.12301,0.84783,0.9987,0.99912,0.995,0.97554,0.28144,0.11618,0.85402,0.000160943,0.000160943,0.000160943
116,30249.1,0.25625,0.12245,0.84882,0.99871,0.99911,0.995,0.97569,0.28141,0.11597,0.85397,0.000142348,0.000142348,0.000142348
117,30496.6,0.25511,0.12149,0.84657,0.9987,0.99912,0.995,0.97543,0.28119,0.1159,0.85389,0.000127117,0.000127117,0.000127117
118,30744.9,0.25443,0.12097,0.8453,0.99871,0.99911,0.995,0.97533,0.28117,0.11603,0.85382,0.000115259,0.000115259,0.000115259
119,30993.4,0.25318,0.11963,0.84495,0.99871,0.99912,0.995,0.97534,0.28114,0.11595,0.85379,0.000106784,0.000106784,0.000106784
120,31241.5,0.25357,0.1201,0.84534,0.99871,0.99912,0.995,0.97534,0.28102,0.11595,0.85378,0.000101696,0.000101696,0.000101696
