epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5436,0.78947,1.42715,1.29914,0.83624,0.94918,0.97484,0.79771,0.73646,0.92207,1.43946,0.000552902,0.000552902,0.000552902
2,59.9651,0.6799,0.80655,1.17672,0.88434,0.90295,0.95903,0.79418,0.65312,0.7517,1.31037,0.0011083,0.0011083,0.0011083
3,87.1955,0.68704,0.72061,1.17825,0.64946,0.83783,0.92907,0.75672,0.69603,1.10337,1.36584,0.00166261,0.00166261,0.00166261
4,113.985,0.67513,0.63464,1.16793,0.92846,0.92361,0.9686,0.81801,0.63554,0.55104,1.27782,0.00166334,0.00166334,0.00166334
5,140.891,0.63138,0.56835,1.13395,0.77636,0.94845,0.98016,0.84353,0.56776,0.75478,1.20212,0.00166049,0.00166049,0.00166049
6,168.379,0.61923,0.54073,1.12603,0.89419,0.91882,0.98617,0.86972,0.5204,0.56319,1.14359,0.00165684,0.00165684,0.00165684
7,195.51,0.60678,0.50372,1.11507,0.95123,0.95832,0.99245,0.87224,0.54314,0.37495,1.16506,0.00165238,0.00165238,0.00165238
8,222.379,0.59564,0.49407,1.1082,0.90091,0.93323,0.97717,0.86241,0.51758,0.44324,1.14018,0.00164713,0.00164713,0.00164713
9,249.188,0.58436,0.48185,1.10349,0.92793,0.93727,0.98411,0.86698,0.52534,0.46065,1.14924,0.00164108,0.00164108,0.00164108
10,275.978,0.57386,0.46368,1.09712,0.95863,0.95651,0.98817,0.87831,0.49848,0.3596,1.11925,0.00163424,0.00163424,0.00163424
11,302.802,0.56995,0.44555,1.09301,0.90899,0.9348,0.99146,0.87339,0.5213,0.41496,1.14802,0.00162661,0.00162661,0.00162661
12,329.593,0.56181,0.41857,1.08994,0.99158,0.99369,0.99473,0.89419,0.49461,0.28917,1.112,0.00161822,0.00161822,0.00161822
13,356.387,0.54634,0.42058,1.07359,0.89826,0.93365,0.99425,0.87481,0.52876,0.4439,1.14927,0.00160905,0.00160905,0.00160905
14,383.246,0.54768,0.40162,1.075,0.97641,0.99087,0.99103,0.90319,0.45652,0.29267,1.06967,0.00159913,0.00159913,0.00159913
15,410.019,0.54255,0.42219,1.07768,0.96273,0.96813,0.99394,0.90214,0.46199,0.31582,1.06894,0.00158847,0.00158847,0.00158847
16,437.089,0.53659,0.38505,1.07152,0.97729,0.98555,0.99482,0.88389,0.53261,0.29687,1.14056,0.00157706,0.00157706,0.00157706
17,464.007,0.53178,0.39053,1.06896,0.97632,0.97514,0.99287,0.87113,0.5409,0.33576,1.16885,0.00156493,0.00156493,0.00156493
18,490.895,0.52213,0.38565,1.05726,0.98685,0.9736,0.9934,0.90074,0.46014,0.29107,1.07639,0.00155209,0.00155209,0.00155209
19,517.696,0.52525,0.37584,1.06509,0.99241,0.98336,0.99478,0.90082,0.47235,0.26618,1.10079,0.00153854,0.00153854,0.00153854
20,544.537,0.52298,0.35837,1.05972,0.99906,0.99513,0.995,0.9062,0.45134,0.26392,1.05798,0.00152431,0.00152431,0.00152431
21,571.39,0.515,0.37146,1.05536,0.9602,0.95179,0.99145,0.91207,0.44991,0.29423,1.06569,0.00150941,0.00150941,0.00150941
22,598.199,0.51653,0.35682,1.05619,0.9807,0.98483,0.99042,0.89502,0.49839,0.27699,1.12848,0.00149384,0.00149384,0.00149384
23,625.123,0.5141,0.35639,1.0573,0.99694,0.99724,0.995,0.91669,0.43504,0.23111,1.04788,0.00147764,0.00147764,0.00147764
24,651.9,0.49655,0.34948,1.04167,0.98793,0.99448,0.99445,0.91468,0.43115,0.23924,1.0495,0.0014608,0.0014608,0.0014608
25,678.816,0.50242,0.34744,1.05164,0.99056,0.99305,0.99487,0.90559,0.45624,0.25405,1.06646,0.00144335,0.00144335,0.00144335
26,705.692,0.49541,0.33126,1.04256,0.86913,0.94207,0.96415,0.88048,0.44585,0.49731,1.05579,0.00142531,0.00142531,0.00142531
27,732.552,0.49967,0.33804,1.04492,0.99779,0.99249,0.995,0.91493,0.43278,0.23215,1.04073,0.0014067,0.0014067,0.0014067
28,759.399,0.48829,0.32992,1.04056,0.9957,0.99724,0.99495,0.91447,0.44489,0.24467,1.0519,0.00138753,0.00138753,0.00138753
29,786.079,0.48947,0.32602,1.03723,0.99453,0.99352,0.99497,0.92805,0.41689,0.23091,1.0258,0.00136781,0.00136781,0.00136781
30,812.89,0.4848,0.3259,1.03901,0.99331,0.99972,0.995,0.92161,0.41922,0.23198,1.02904,0.00134758,0.00134758,0.00134758
31,839.713,0.48938,0.32359,1.03717,0.99785,0.99467,0.995,0.92236,0.42462,0.22641,1.03275,0.00132685,0.00132685,0.00132685
32,866.574,0.48077,0.31312,1.03657,0.99576,0.99897,0.995,0.92708,0.41839,0.22263,1.02391,0.00130565,0.00130565,0.00130565
33,893.333,0.46437,0.3062,1.02206,0.99458,1,0.995,0.93372,0.40387,0.2102,1.01735,0.00128398,0.00128398,0.00128398
34,920.175,0.46656,0.3009,1.02788,0.99813,1,0.995,0.93566,0.40221,0.20552,1.01167,0.00126188,0.00126188,0.00126188
35,947.035,0.46401,0.30445,1.02119,0.99721,0.99724,0.99491,0.93322,0.40574,0.21442,1.0278,0.00123936,0.00123936,0.00123936
36,974.031,0.4619,0.3067,1.02446,0.98534,0.99058,0.99497,0.92653,0.40558,0.22698,1.01602,0.00121645,0.00121645,0.00121645
37,1000.97,0.47187,0.30674,1.02999,0.99852,0.99724,0.995,0.93404,0.40246,0.2043,1.01009,0.00119317,0.00119317,0.00119317
38,1027.67,0.46591,0.29728,1.02322,0.99194,0.99632,0.99461,0.93018,0.40487,0.22452,1.00962,0.00116955,0.00116955,0.00116955
39,1054.41,0.46255,0.30258,1.01913,0.99573,0.997,0.99498,0.93566,0.40435,0.21221,1.01625,0.0011456,0.0011456,0.0011456
40,1081.27,0.46439,0.29873,1.02638,0.98609,0.98863,0.995,0.9298,0.40281,0.22973,1.0099,0.00112135,0.00112135,0.00112135
41,1108.12,0.45817,0.29605,1.02117,0.9995,0.99685,0.995,0.93626,0.3867,0.20634,0.99363,0.00109683,0.00109683,0.00109683
42,1135.08,0.44503,0.28221,1.00755,0.99785,0.99674,0.995,0.93624,0.40152,0.21251,1.00503,0.00107205,0.00107205,0.00107205
43,1162.27,0.45046,0.28466,1.0151,0.99103,0.99907,0.995,0.93419,0.39966,0.22115,1.01156,0.00104705,0.00104705,0.00104705
44,1189.19,0.44858,0.28418,1.01535,0.99522,0.99972,0.995,0.93715,0.3952,0.2142,1.00857,0.00102184,0.00102184,0.00102184
45,1216.13,0.44126,0.27633,1.014,0.99885,0.99979,0.995,0.94375,0.38867,0.19874,1.00113,0.000996456,0.000996456,0.000996456
